Name,Slug,Description,Price,Image,Category
Bizhub-165e by Konica Minolta,bizhub-165e-konica-minolta,"""<ul>
<li>Copier + Printer + Scanner (Mono)</li>
<li>Speed: 16 cpm /ppm</li>
<li> 32 MB RAM</li>
<li>One Paper Tray (250 Sheets) + One Multi Bypass Tray (100 Sheets)</li>
<li>Zoom Range: 50% - 200%</li>
<li>1-99 Continuous Copying</li>
<li>ID Card Copying</li>
<li>Electronic Rotate Sorting</li>
<li>Book Copying</li>
<li>Operating System: Microsoft & Linux</li>
<li>Machine cannot be upgradeable with any optional items. </li></ul>
""","Rs. 48,360",http://139.59.18.157/wp-content/uploads/2016/10/bizhub-165e.png,Photocopiers
Bizhub-185e by Konica Minolta,bizhub-185e-konica-minolta,"""<ul>
<li>Copier + Printer + Scanner (Mono)</li>
<li>Speed: 18 cpm /ppm</li>
<li> 32 MB RAM</li>
<li>One Paper Tray (250 Sheets) + One Multi Bypass Tray (100 Sheets)</li>
<li>Zoom Range: 50% - 200%</li>
<li>1-99 Continuous Copying</li>
<li>ID Card Copying</li>
<li>Electronic Rotate Sorting</li>
<li>Book Copying</li>
<li>Operating System: Microsoft & Linux</li>
<li>Machine cannot be upgradeable with any optional items. </li></ul>
""","Rs. 51,600",http://139.59.18.157/wp-content/uploads/2016/10/bizhub-185e.png,Photocopiers
Bizhub-206 by Konica Minolta,bizhub-206-konica-minolta,"""<ul>
<li>Copier + Printer + Scanner (Colour)</li>
<li>Speed: 20 cpm /ppm</li>
<li>128 MB RAM</li>
<li>One Paper Tray (250 Sheets) + One Multi Bypass Tray (100 Sheets)</li>
<li>Zoom Range: 25% - 400%</li>
<li>1-999 Continuous Copying</li>
<li>ID Card Copying</li>
<li>Electronic Rotate Sorting</li>
<li>Book Copying</li>
<li>2/4 in 1 Copying</li><li>Booklet Printing</li><li>Secure Printing</li><li>Account Authentication</li><li>Operating System: Microsoft & Linux</li><li>Upgradable With Optional Items</li>
</ul>
""","Rs. 53,859",http://139.59.18.157/wp-content/uploads/2016/10/bizhub-206.png,Photocopiers
Bizhub-226 by Konica Minolta,bizhub-226-konica-minolta,"""<ul>
<li>Copier + Printer + Scanner (Colour)</li>
<li>Speed: 22 cpm /ppm</li>
<li>128 MB RAM</li>
<li>One Paper Tray (250 Sheets) + One Multi Bypass Tray (100 Sheets)</li>
<li>Zoom Range: 25% - 400%</li>
<li>1-999 Continuous Copying</li>
<li>ID Card Copying</li>
<li>Electronic Rotate Sorting</li>
<li>Book Copying</li>
<li>2/4 in 1 Copying</li><li>Booklet Printing</li><li>Secure Printing</li><li>Account Authentication</li><li>Operating System: Microsoft & Linux</li><li>Upgradable With Optional Items</li>
</ul>
""","Rs. 57,708",http://139.59.18.157/wp-content/uploads/2016/10/bizhub-226.png,Photocopiers
Bizhub-227 by Konica Minolta,bizhub-227-konica-minolta,"""<ul>
<li>Copier + Printer + Scanner (Colour)</li>
<li>Speed: 22 cpm /ppm</li>
<li>2 GB RAM</li>
<li>Two Paper Trays (500 Sheets) + One Multi Bypass Tray (150 Sheets)</li>
<li>Zoom Range: 25% - 400%</li>
<li>1-9999 Continuous Copying</li>
<li>ID Card Copying</li>
<li>Electronic Rotate Sorting</li>
<li>Book Copying</li>
<li>2/4 in 1 Copying</li>
<li>Booklet Printing</li>
<li>Secure Printing</li>
<li>Account Authentication</li>
<li>Post Script In-built</li>
<li>Duplex In-built</li>
<li>Network Interface In-built</li>
<li>Operating System: Microsoft & Linux</li>
<li>All Possible Mobile Printing Options including NFC & Google Print Service</li>
<li>Upgradable with optional items</li></ul>
""","Rs. 1,42,965",http://139.59.18.157/wp-content/uploads/2016/10/bizhub-227.png,Photocopiers
Bizhub-287 by Konica Minolta,bizhub-287-konica-minolta,"""<ul>
<li>Copier + Printer + Scanner (Colour)</li>
<li>Speed: 28 cpm /ppm</li>
<li>2 GB RAM</li>
<li>Two Paper Trays (500 Sheets) + One Multi Bypass Tray (150 Sheets)</li>
<li>Zoom Range: 25% - 400%</li>
<li>1-9999 Continuous Copying</li>
<li>ID Card Copying</li>
<li>Electronic Rotate Sorting</li>
<li>Book Copying</li>
<li>2/4 in 1 Copying</li>
<li>Booklet Printing</li>
<li>Secure Printing</li>
<li>Account Authentication</li>
<li>Post Script In-built</li>
<li>Duplex In-built</li>
<li>Network Interface In-built</li>
<li>Operating System: Microsoft & Linux</li>
<li>All Possible Mobile Printing Options including NFC & Google Print Service</li>
<li>Upgradable with optional items</li></ul>
""","Rs. 1,55,925",http://139.59.18.157/wp-content/uploads/2016/10/bizhub-287.png,Photocopiers
Bizhub-367 by Konica Minolta,bizhub-367-konica-minolta,"""<ul>
<li>Copier + Printer + Scanner (Colour)</li>
<li>Speed: 36 cpm /ppm</li>
<li>2 GB RAM</li>
<li>Two Paper Trays (500 Sheets) + One Multi Bypass Tray (150 Sheets)</li>
<li>Zoom Range: 25% - 400%</li>
<li>1-9999 Continuous Copying</li>
<li>ID Card Copying</li>
<li>Electronic Rotate Sorting</li>
<li>Book Copying</li>
<li>2/4 in 1 Copying</li>
<li>Booklet Printing</li>
<li>Secure Printing</li>
<li>Account Authentication</li>
<li>Post Script In-built</li>
<li>Duplex In-built</li>
<li>Network Interface In-built</li>
<li>Operating System: Microsoft & Linux</li>
<li>All Possible Mobile Printing Options including NFC & Google Print Service</li>
<li>Upgradable with optional items</li></ul>
""","Rs. 1,77,174",http://139.59.18.157/wp-content/uploads/2016/10/bizhub-367.png,Photocopiers
Bizhub-C221 by Konica Minolta,bizhub-c221-konica-minolta,"""<ul>
<li>Copier + Printer + Scanner</li>
<li>Speed: 22 cpm /ppm</li>
<li> 768 MB RAM</li>
<li>Two Paper Tray (250 Sheets) + One Multi Bypass Tray (100 Sheets)</li>
<li>Zoom Range: 25% - 400%</li>
<li>1-999 Continuous Copying</li>
<li>Maximum Print Size: 12” x 18”</li>
<li>Maximum Paper Weight: 300 GSM</li>
<li>ID Card Copying</li>
<li>Electronic Rotate Sorting</li>
<li>Book Copying</li>
<li>2/4 in 1 Copying</li>
<li>Booklet Printing</li>
<li>Secure Printing</li>
<li>Account Authentication</li>
<li>Post Script In-built</li>
<li>Duplex In-built</li>
<li>Network Interface In-built</li><li>Upgradable With Optional Items</li>
</ul>
""","Rs. 2,16,490",http://139.59.18.157/wp-content/uploads/2016/10/bizhub-c221.png,Photocopiers
Bizhub-C227 by Konica Minolta,bizhub-c227-konica-minolta,"""<ul>
<li>Copier + Printer + Scanner</li>
<li>Speed: 22 cpm /ppm</li>
<li> 2 GB RAM</li>
<li>Two Paper Tray (250 Sheets) + One Multi Bypass Tray (100 Sheets)</li>
<li>Zoom Range: 25% - 400%</li>
<li>1-999 Continuous Copying</li>
<li>Maximum Print Size: A3</li>
<li>Maximum Paper Weight: 250 GSM</li>
<li>ID Card Copying</li>
<li>Electronic Rotate Sorting</li>
<li>Book Copying</li>
<li>2/4 in 1 Copying</li>
<li>Booklet Printing</li>
<li>Secure Printing</li>
<li>Account Authentication</li>
<li>Duplex In-built</li>
<li>Network Interface In-built</li><li>Upgradable With Optional Items</li><li>All Possible Mobile Printing Options including NFC & Google Print Service</li>
</ul>
""","Rs. 2,87,480",http://139.59.18.157/wp-content/uploads/2016/10/bizhub-c227.png,Photocopiers
Bizhub-C258 by Konica Minolta,bizhub-c258-konica-minolta,"""<ul>
<li>Copier + Printer + Scanner</li>
<li>Speed: 22 cpm /ppm</li>
<li> 2 GB RAM + 250 GB HDD</li>
<li>Two Paper Tray (500 Sheets) + One Multi Bypass Tray (100 Sheets)</li>
<li>Zoom Range: 25% - 400%</li>
<li>1-9999 Continuous Copying</li>
<li>Maximum Print Size: 12” x 18” & 12” x 48”</li>
<li>Maximum Paper Weight: 300 GSM</li>
<li>ID Card Copying</li>
<li>Electronic Rotate Sorting</li>
<li>Book Copying</li>
<li>2/4 in 1 Copying</li>
<li>Booklet Printing</li>
<li>Secure Printing</li>
<li>Account Authentication</li>
<li>Post Script In-built</li>
<li>Duplex In-built</li>
<li>Network Interface In-built</li><li>Upgradable With Optional Items</li><li>All Possible Mobile Printing Options including NFC & Google Print Service</li>
</ul>
""","Rs. 3,29,280",http://139.59.18.157/wp-content/uploads/2016/10/bizhub-c258.png,Photocopiers
